neuropil,index,neuropil_size,region,neuropil_desc,cluster,gaba_mean,gaba_var,ach_mean,ach_var,other_mean,other_var
AL_L,835543,835543,835543,835543,835543,0.19871549848421924,0.055176499484243656,0.44112814211835893,0.09594068569106864,0.3601563593974218,0.06721172204920439
AL_R,854877,854877,854877,854877,854877,0.20065337250271092,0.05680785687350393,0.45751157768895406,0.0955762191131612,0.3418350680858182,0.06473164992283774
AME_L,33753,33753,33753,33753,33753,0.2442087902371641,0.09444134782865875,0.47289179040566764,0.16418708862853182,0.28289939042455486,0.08565777334060817
AME_R,35420,35420,35420,35420,35420,0.19979432082862789,0.07623538075979193,0.5480354606331169,0.1761902546058619,0.2521702461091897,0.08707235619849729
AMMC_L,286248,286248,286248,286248,286248,0.3883384665569716,0.12318400701583494,0.37843383949407505,0.1366004356605427,0.23322772124172048,0.04604934567921688
AMMC_R,267357,267357,267357,267357,267357,0.324951954456027,0.10090570862571346,0.35526284261306046,0.12135926213731346,0.3197852029309126,0.06918515037480963
AOTU_L,228215,228215,228215,228215,228215,0.2140871135771093,0.0870621845996874,0.4576635861468352,0.1281994368678642,0.3282493002760555,0.06671626960715486
AOTU_R,270990,270990,270990,270990,270990,0.2439656444887265,0.10668040928333644,0.4653736646186206,0.12490564378716142,0.29066069089265284,0.05634421587524758
ATL_L,146837,146837,146837,146837,146837,0.15167547869831854,0.07076532165236776,0.5229805200664682,0.15100891872755537,0.3253440145365269,0.10855212574941814
ATL_R,136905,136905,136905,136905,136905,0.14511439844235052,0.06603987786992248,0.503736909261897,0.14760247351938494,0.3511487208283116,0.11557020785602679
AVLP_L,2072930,2072930,2072930,2072930,2072930,0.22239922778386148,0.10727068298743991,0.5279705537572421,0.1536102269310466,0.24963020338361644,0.06362260884809288
AVLP_R,2741515,2741515,2741515,2741515,2741515,0.22045566046510778,0.10514819198780692,0.5383190042731847,0.13832873184089994,0.24122535805932122,0.05644107885354257
BU_L,14300,14300,14300,14300,14300,0.31563186325393355,0.09347369610365834,0.4859642359593531,0.1432743485744119,0.1984038837139423,0.05115837783965971
BU_R,25019,25019,25019,25019,25019,0.1627434048560594,0.046460822158476384,0.5547986264813741,0.1299937424738753,0.282457988178984,0.07982386619996697
CAN_L,86402,86402,86402,86402,86402,0.27742634899944446,0.10578683602351406,0.5201129241799959,0.14573843740571588,0.2024607268205597,0.05285397912711365
CAN_R,112957,112957,112957,112957,112957,0.2356313547411847,0.09713952230318584,0.5174412677501173,0.1483099108367793,0.24692736021782624,0.07164857600215006
CRE_L,828243,828243,828243,828243,828243,0.17293018926812542,0.08705727775730272,0.5250609573518883,0.18151184648979155,0.3020088533799863,0.11208166938972004
CRE_R,836716,836716,836716,836716,836716,0.1920974941019414,0.09742038991461997,0.5315391886255313,0.1726778798112622,0.27636331727252733,0.09818768874722533
EB,314544,314544,314544,314544,314544,0.6426615294680553,0.15862634619624866,0.22832946761820286,0.11771678134222342,0.1290089780761992,0.03814089812762885
EPA_L,329379,329379,329379,329379,329379,0.2615125973802216,0.12427070330243954,0.4936859400568949,0.17526090746330333,0.2448014625628835,0.07871836940344078
EPA_R,311997,311997,311997,311997,311997,0.2829739248294054,0.13099310850824977,0.4923847424814982,0.17479402609528605,0.22464135772940125,0.07281543598791856
FB,944961,944961,944961,944961,944961,0.09670035324209147,0.0320458276720582,0.36854275599733743,0.12997413613044292,0.5347569238307189,0.12238935410216326
FLA_L,376875,376875,376875,376875,376875,0.2108212064676617,0.09684250775231493,0.4949645936981758,0.1497398515931366,0.2942141791044776,0.08985287226144335
FLA_R,448093,448093,448093,448093,448093,0.19921569015806986,0.09023249877038292,0.48395809435764453,0.14397053161121326,0.31682621548428563,0.09136651294659257
GA_L,64078,64078,64078,64078,64078,0.1651964634410406,0.06393922072584975,0.47228810736524235,0.13722592031388461,0.36251542919371704,0.09202528133189113
GA_R,42290,42290,42290,42290,42290,0.1923062854693781,0.08642482637553654,0.5343565725496572,0.1278147013190474,0.2733371188889217,0.06898663382849489
GNG,3802115,3802115,3802115,3802115,3802115,0.22002845784517303,0.08366882244889876,0.46918356625194135,0.13032436214657192,0.31078800877932417,0.07480044262264256
GOR_L,297643,297643,297643,297643,297643,0.2204455610412474,0.10887871507520298,0.5253319412853653,0.1557802261225336,0.2542224714254997,0.07667662708200948
GOR_R,327990,327990,327990,327990,327990,0.22218231691514986,0.11006353194038568,0.507880146879478,0.15542063793792849,0.2699375600246959,0.0810980672562042
IB_L,509081,509081,509081,509081,509081,0.1552410894582591,0.07045191701467127,0.43817818284320176,0.13885068282355562,0.4065807123522583,0.1126047828262616
IB_R,541885,541885,541885,541885,541885,0.15878595377709293,0.07241312039721791,0.45319267464498925,0.13938941155515408,0.38802135716065217,0.11114882137077461
ICL_L,862498,862498,862498,862498,862498,0.20097349138780612,0.1022698780848998,0.5109477427773745,0.1611401170874698,0.2880787477188353,0.09468294887560452
ICL_R,961143,961143,961143,961143,961143,0.20276086648916966,0.1035202662163595,0.5162443309684407,0.16034128413133603,0.2809948025423896,0.09209826161595609
IPS_L,1087118,1087118,1087118,1087118,1087118,0.2122932204691671,0.08611123819879567,0.4812386971791471,0.14372996639047275,0.3064680823516858,0.08400182751195506
IPS_R,1093730,1093730,1093730,1093730,1093730,0.21368666455615187,0.09025203522088633,0.47412024105583644,0.14749590931412954,0.31219308010203617,0.08638769101671336
LAL_L,885878,885878,885878,885878,885878,0.2514696930615728,0.11243987418088365,0.4930869783988314,0.1623989309943045,0.2554433285395957,0.07425840408926167
LAL_R,844139,844139,844139,844139,844139,0.26675509009772086,0.11962784734790848,0.4996256910887899,0.16063517577932285,0.23361921881348924,0.06740968456355025
LA_L,219448,219448,219448,219448,219448,0.25006847792529435,0.06502778663668576,0.44537490800781965,0.08045556004022923,0.3045565962665415,0.04158112150538239
LA_R,409329,409329,409329,409329,409329,0.26256641204263564,0.06695635347308486,0.3567274505959754,0.0823950443853213,0.38070613736138903,0.05559875550241302
LH_L,856139,856139,856139,856139,856139,0.21998630990411605,0.11809522325327969,0.5382697421213144,0.19514938537453913,0.24174394797456955,0.10244202553947701
LH_R,974267,974267,974267,974267,974267,0.23755402458976851,0.12493130985887188,0.5352778037232093,0.1916765796454658,0.22716815564932405,0.09489337269859152
LOP_L,1293778,1293778,1293778,1293778,1293778,0.2740266297618293,0.09612438497635824,0.40730379361837965,0.10841788732954712,0.31866960077385764,0.06182263321026987
LOP_R,2034741,2034741,2034741,2034741,2034741,0.24192427930630975,0.09502491019741771,0.3961902583670354,0.11130863024097587,0.36188546232665486,0.07042316338091992
LO_L,4072947,4072947,4072947,4072947,4072947,0.20320153012057363,0.09364450279224047,0.5402125905394791,0.14177134004989617,0.25658589468510146,0.06998882572022687
LO_R,4216294,4216294,4216294,4216294,4216294,0.2085841262492606,0.0999091704613701,0.5314853518279323,0.14806296764896468,0.2599305219228071,0.0734604767911156
MB_CA_L,407568,407568,407568,407568,407568,0.1711058990462941,0.10460751252136304,0.7613786227083579,0.14783007404441456,0.06751545907676756,0.0320590805745604
MB_CA_R,364266,364266,364266,364266,364266,0.178530753882465,0.10875142420190358,0.7352925128889328,0.1620130041957426,0.08617677076127062,0.041309166357554314
MB_ML_L,587071,587071,587071,587071,587071,0.1401070819159863,0.0832469712370938,0.673544490359769,0.19413762090143236,0.1863484144166549,0.10162393963177645
MB_ML_R,490048,490048,490048,490048,490048,0.131964703585159,0.07924332526212456,0.6835125079584041,0.18367844589739651,0.1845227884564369,0.10185470464895617
MB_PED_L,407410,407410,407410,407410,407410,0.17547236276110062,0.10923481495867321,0.6717847960285708,0.18474920465424394,0.152742860386343,0.07768469911421796
MB_PED_R,411363,411363,411363,411363,411363,0.17050330243604797,0.10485429348954231,0.6663128884950761,0.17973150631220838,0.16318380906887592,0.08003117884848485
MB_VL_L,284150,284150,284150,284150,284150,0.14883935641386592,0.08932731460063129,0.6611290801513285,0.19498983291595284,0.19003159092908675,0.10172410028383777
MB_VL_R,265575,265575,265575,265575,265575,0.15860684069942577,0.1022262042707081,0.7026809164077944,0.18486819767117763,0.13871221347547774,0.0818465593872353
ME_L,7931257,7931257,7931257,7931257,7931257,0.2974097926722082,0.0947208029516082,0.4272005685857866,0.1260451455560791,0.27538960722115047,0.05834106719587395
ME_R,9094778,9094778,9094778,9094778,9094778,0.2913870190124487,0.0998951734021257,0.4446548063075316,0.13479174864986643,0.2639581746800197,0.06054995453799071
NO,156192,156192,156192,156192,156192,0.2616817362604999,0.07655141686294845,0.412560817575484,0.10561633729524009,0.32575742115473266,0.06537270844398933
OCG,10075,10075,10075,10075,10075,0.15191571029776674,0.032064146915213816,0.30970947871433,0.08721456386934884,0.5383747867555831,0.09037173180281595
PB,116995,116995,116995,116995,116995,0.0983420348492457,0.052083334908187534,0.4670207594341639,0.13948480971548302,0.4346371973695457,0.12754559273555055
PLP_L,1568712,1568712,1568712,1568712,1568712,0.23502621099347745,0.12172108691725998,0.5451942023137453,0.15926793403603243,0.219779566771976,0.07058563335997507
PLP_R,1421176,1421176,1421176,1421176,1421176,0.22781995333442162,0.11814213128343025,0.5372187364548796,0.1641613937872143,0.23496131021069874,0.07859860062309636
PRW,765541,765541,765541,765541,765541,0.20733950320753558,0.08450525557392116,0.45310097695616564,0.12885884300449701,0.3395595402467014,0.08257276649686389
PVLP_L,1701517,1701517,1701517,1701517,1701517,0.21845485895821198,0.11098020287938641,0.4949710684641999,0.13626185638564894,0.28657409094355213,0.06792788288063317
PVLP_R,1525904,1525904,1525904,1525904,1525904,0.22475772968024202,0.11528833210563864,0.5140688732711888,0.14086091233665946,0.26117339704856923,0.0659524948823873
SAD,1606872,1606872,1606872,1606872,1606872,0.2920777526150185,0.11243563851628215,0.4576562414430023,0.15176328542333312,0.2502660059419792,0.06604315819011711
SCL_L,775161,775161,775161,775161,775161,0.18503442349395802,0.10279042060148161,0.5262701474274376,0.177608472951473,0.2886954089215015,0.11115830502252148
SCL_R,928464,928464,928464,928464,928464,0.20542296537614813,0.11357708816286921,0.5502601945255821,0.1804892155312277,0.24431684009826984,0.09878143669469146
SIP_L,545354,545354,545354,545354,545354,0.182298433104919,0.0975404579089012,0.5417023277540827,0.18784424521172857,0.275999224815441,0.11144452559672423
SIP_R,599264,599264,599264,599264,599264,0.21061081019800956,0.1114944109695237,0.5180039598574251,0.18232343664789727,0.27138521690774015,0.10619171776562614
SLP_L,948551,948551,948551,948551,948551,0.15331949402298875,0.0809284227460626,0.5108287535409272,0.17937733002970668,0.3358517689085774,0.12566931725333105
SLP_R,1226567,1226567,1226567,1226567,1226567,0.1666076435286454,0.09103814296904618,0.5339126399128625,0.17942867870100082,0.2994796910808786,0.11952164181818482
SMP_L,1277480,1277480,1277480,1277480,1277480,0.13422705247831668,0.06431365111013625,0.4902740160315621,0.16927980468326778,0.3754989070278987,0.12693558937015056
SMP_R,1403138,1403138,1403138,1403138,1403138,0.1480800088800959,0.07426387802289383,0.4933705736712996,0.16578817040368024,0.3585493951770959,0.12240299184577247
SPS_L,1388399,1388399,1388399,1388399,1388399,0.1996783480469231,0.08908760836510922,0.49891655784828426,0.1474756768953105,0.30140507159685365,0.08769325906245672
SPS_R,1706537,1706537,1706537,1706537,1706537,0.20617768249384572,0.09445278003959048,0.49812489415699746,0.15122237377920653,0.29569740503721864,0.08629973091843966
UNASGD,20155,20155,20155,20155,20155,0.18838227370689656,0.057826473384465,0.4728819422909948,0.11700462242762058,0.33873578400210863,0.092396964614195
VES_L,773079,773079,773079,773079,773079,0.2636945900742356,0.11583915727037288,0.5126669218152349,0.16303164787831356,0.22363846789914096,0.06669157148030073
VES_R,844178,844178,844178,844178,844178,0.25421447328051666,0.11110425033113275,0.5021094484812445,0.1633807131771315,0.24367607823823886,0.0743886739037228
WED_L,690515,690515,690515,690515,690515,0.2797375192790888,0.13101356373427342,0.5345312466057942,0.17076853226708807,0.18573123411511697,0.056742708327363035
WED_R,806247,806247,806247,806247,806247,0.2622342509491508,0.11951129554642548,0.5276110717311197,0.1638949121485583,0.2101546579398125,0.06363247559789234
